s, (0.23529411764705882, 0, 0, 0, 0.29411764705882354),
h, (0, 0.11764705882352941, 0, 0, 0),
e, (0, 0.11764705882352941, 0.058823529411764705, 0.23529411764705882, 0.11764705882352941),
p, (0, 0.1764705882352941, 0.058823529411764705, 0, 0.058823529411764705),
c, (0.1764705882352941, 0, 0, 0, 0.058823529411764705),
a, (0.11764705882352941, 0.23529411764705882, 0.23529411764705882, 0, 0.058823529411764705),
i, (0.058823529411764705, 0.23529411764705882, 0, 0.1764705882352941, 0),
n, (0, 0.058823529411764705, 0.1764705882352941, 0, 0.1764705882352941),
b, (0.11764705882352941, 0, 0, 0, 0),
r, (0, 0, 0.11764705882352941, 0.1764705882352941, 0),
d, (0, 0, 0.058823529411764705, 0.1764705882352941, 0),
l, (0.1764705882352941, 0, 0.11764705882352941, 0.11764705882352941, 0),
k, (0.058823529411764705, 0, 0.058823529411764705, 0, 0),
o, (0, 0.058823529411764705, 0, 0.058823529411764705, 0),
y, (0, 0, 0, 0, 0.23529411764705882),
v, (0.058823529411764705, 0, 0.11764705882352941, 0, 0),
u, (0, 0, 0, 0.058823529411764705, 0),
